Timestamp,EAR,MAR,HeadTilt,Status
07:58:18,0.253,0.715,5.74,Normal
07:58:18,0.209,0.839,2.63,Eyes Closed
07:58:18,0.19,0.791,13.86,Eyes Closed
07:58:18,0.155,0.849,15.1,Eyes Closed
07:58:18,0.163,0.87,16.28,Eyes Closed
07:58:18,0.167,0.815,16.96,Eyes Closed
07:58:18,0.173,0.762,17.23,Eyes Closed
07:58:18,0.187,0.808,15.46,Eyes Closed
07:58:18,0.216,0.816,15.95,Eyes Closed
07:58:18,0.217,0.744,16.12,Eyes Closed
07:58:18,0.199,0.772,15.59,Eyes Closed
07:58:18,0.17,0.772,17.28,Eyes Closed
07:58:18,0.245,0.83,15.33,Eyes Closed
07:58:18,0.218,0.822,16.33,Eyes Closed
07:58:18,0.196,0.819,16.47,Eyes Closed
07:58:19,0.245,0.851,15.4,Eyes Closed
07:58:19,0.21,0.872,13.78,Eyes Closed
07:58:19,0.252,0.868,12.21,Yawning
07:58:19,0.292,0.84,10.78,Yawning
07:58:19,0.31,0.952,10.65,Yawning
07:58:19,0.303,0.948,10.55,Yawning
07:58:19,0.286,0.984,10.06,Yawning
07:58:19,0.269,0.86,10.06,Yawning
07:58:19,0.28,0.925,9.23,Yawning
07:58:19,0.293,0.896,8.6,Yawning
07:58:19,0.278,0.858,8.75,Yawning
07:58:19,0.302,0.889,7.63,Yawning
07:58:19,0.2,0.847,7.94,Eyes Closed
07:58:19,0.2,0.828,8.91,Eyes Closed
07:58:19,0.202,0.939,8.13,Eyes Closed
07:58:19,0.197,0.866,8.25,Eyes Closed
07:58:19,0.181,0.856,8.33,Eyes Closed
07:58:19,0.26,0.911,7.93,Yawning
07:58:19,0.272,0.846,7.97,Yawning
07:58:19,0.273,0.864,8.17,Yawning
07:58:19,0.29,0.859,8.01,Yawning
07:58:19,0.29,0.835,8.01,Yawning
07:58:19,0.297,0.858,8.09,Yawning
07:58:19,0.286,0.846,8.13,Yawning
07:58:19,0.291,0.83,8.42,Yawning
07:58:19,0.294,0.825,7.27,Yawning
07:58:19,0.298,0.87,7.88,Yawning
07:58:19,0.279,0.836,7.88,Yawning
07:58:19,0.272,0.864,8.09,Yawning
07:58:19,0.276,0.857,8.42,Yawning
07:58:19,0.276,0.877,8.13,Yawning
07:58:20,0.285,0.866,8.94,Yawning
07:58:20,0.273,0.862,8.7,Yawning
07:58:20,0.279,0.868,8.94,Yawning
07:58:20,0.285,0.837,9.56,Yawning
07:58:20,0.279,0.817,9.56,Yawning
07:58:20,0.278,0.864,9.74,Yawning
07:58:20,0.294,0.864,9.51,Yawning
07:58:20,0.269,0.877,10.41,Yawning
07:58:20,0.284,0.846,10.86,Yawning
07:58:20,0.287,0.843,10.02,Yawning
07:58:20,0.279,0.852,9.98,Yawning
07:58:20,0.273,0.837,10.58,Yawning
07:58:20,0.301,0.847,10.46,Yawning
07:58:20,0.308,0.873,10.58,Yawning
07:58:20,0.306,0.836,9.74,Yawning
07:58:20,0.295,0.823,10.02,Yawning
07:58:20,0.28,0.84,9.93,Yawning
07:58:20,0.277,0.88,9.98,Yawning
07:58:20,0.289,0.832,9.98,Yawning
07:58:20,0.276,0.836,10.2,Yawning
07:58:20,0.301,0.866,9.55,Yawning
07:58:20,0.294,0.86,8.81,Yawning
07:58:20,0.296,0.85,8.49,Yawning
07:58:20,0.295,0.852,7.97,Yawning
07:58:20,0.3,0.854,7.13,Yawning
07:58:20,0.292,0.868,5.8,Yawning
07:58:20,0.274,0.902,5.8,Yawning
07:58:20,0.29,0.914,4.88,Yawning
07:58:20,0.304,0.848,5.77,Yawning
07:58:20,0.284,0.846,5.99,Yawning
07:58:21,0.287,0.837,6.56,Yawning
07:58:21,0.285,0.884,7.09,Yawning
07:58:21,0.305,0.85,7.73,Yawning
07:58:21,0.299,0.835,8.37,Yawning
07:58:21,0.294,0.845,8.94,Yawning
07:58:21,0.308,0.889,9.32,Yawning
07:58:21,0.297,0.867,9.7,Yawning
07:58:21,0.295,0.82,9.99,Yawning
07:58:21,0.286,0.828,9.65,Yawning
07:58:21,0.303,0.846,9.89,Yawning
07:58:21,0.294,0.84,9.89,Yawning
07:58:21,0.309,0.817,10.51,Yawning
07:58:21,0.307,0.862,9.94,Yawning
07:58:21,0.288,0.84,9.89,Yawning
07:58:21,0.303,0.848,10.12,Yawning
07:58:21,0.315,0.827,10.23,Yawning
07:58:21,0.294,0.842,10.41,Yawning
07:58:21,0.297,0.822,9.61,Yawning
07:58:21,0.306,0.83,9.94,Yawning
07:58:21,0.301,0.817,9.7,Yawning
07:58:21,0.294,0.842,9.61,Yawning
07:58:21,0.291,0.811,9.27,Yawning
07:58:21,0.287,0.856,9.32,Yawning
07:58:21,0.231,0.852,9.32,Eyes Closed
07:58:21,0.189,0.879,9.41,Eyes Closed
07:58:21,0.154,0.846,10.04,Eyes Closed
07:58:21,0.185,0.84,9.99,Eyes Closed
07:58:21,0.23,0.847,10.67,Eyes Closed
07:58:21,0.219,0.873,9.94,Eyes Closed
