timestamp,frame_no,EAR_L,EAR_R,EAR_mean,MAR,head_tilt,fused_score,alert
2025-10-16T06:06:14.976120,1,0.2871244018640675,0.3082458874661286,0.29768514466509804,0.0,1.882282443010753,0.0,False
2025-10-16T06:06:15.067506,2,0.2817838684678825,0.29199944638307734,0.28689165742547995,0.0,1.876413691837371,0.0,False
2025-10-16T06:06:15.090138,3,0.2678341208171462,0.3029795980918145,0.28540685945448035,0.0,2.051775040281992,0.0,False
2025-10-16T06:06:15.110609,4,0.28874390411133427,0.2922155555378971,0.2904797298246157,0.0,1.8504507686700282,0.0,False
2025-10-16T06:06:15.137975,5,0.27928157220534555,0.2897795917629812,0.28453058198416337,0.0,2.0454084888872486,0.0,False
2025-10-16T06:06:15.169547,6,0.2848586759970754,0.27480586344977626,0.2798322697234258,0.0,2.0359323690916384,0.0,False
2025-10-16T06:06:15.186621,7,0.27585628061719647,0.2988534276071898,0.28735485411219314,0.0,1.770557662804146,0.0,False
2025-10-16T06:06:15.218578,8,0.27037566397127416,0.26159826874449454,0.2659869663578843,0.0,2.5545791476166237,0.0,False
2025-10-16T06:06:15.246661,9,0.25790861546792937,0.2787330444698946,0.268320829968912,0.0,2.0327931360855303,0.0,False
2025-10-16T06:06:15.264686,10,0.26837526113477533,0.2700783888543667,0.269226824994571,0.0,1.679487657485801,0.0,False
2025-10-16T06:06:15.280670,11,0.2600688043998752,0.2922155555378971,0.2761421799688861,0.0,1.4912837533798322,0.0,False
2025-10-16T06:06:15.322567,12,0.2634736922190852,0.30290687895719315,0.2831902855881392,0.0,1.5813836464250204,0.0,False
2025-10-16T06:06:15.354090,13,0.2750322053355235,0.29209480999540566,0.28356350766546456,0.0,1.5789631525491716,0.0,False
2025-10-16T06:06:15.387442,14,0.28690224294152056,0.28351070949383667,0.2852064762176786,0.0,1.5789631525491716,0.0,False
2025-10-16T06:06:15.420375,15,0.2634736922190852,0.3009973924478411,0.28223554233346315,0.0,1.4867322620401549,0.0,False
2025-10-16T06:06:15.451155,16,0.2730731871078546,0.2723405092775346,0.27270684819269464,0.0,1.9149510140425823,0.0,False
2025-10-16T06:06:15.483022,17,0.27416618410808025,0.30530017863136366,0.2897331813697219,0.0,1.31389302449794,0.0,False
2025-10-16T06:06:15.515152,18,0.27827966199046794,0.272542068828459,0.27541086540946347,0.0,1.2282052756795427,0.0,False
2025-10-16T06:06:15.549551,19,0.2827936571952931,0.28104826270231903,0.28192095994880606,0.0,1.489004530326133,0.0,False
2025-10-16T06:06:15.578110,20,0.2880356450571188,0.2986222659681605,0.29332895551263966,0.0,1.666635155242713,0.0,False
2025-10-16T06:06:15.611599,21,0.316341971999541,0.2940942409837195,0.3052181064916303,0.0,1.401452050733327,0.0,False
