Timestamp,EAR,MAR,Tilt,Status
08:19:57,0.215,0.945,3.69,Eyes Closed
08:19:57,0.228,1.135,4.06,Eyes Closed
08:19:57,0.223,1.048,3.74,Eyes Closed
08:19:57,0.259,1.084,4.01,Yawning
08:19:57,0.238,0.939,3.64,Yawning
08:19:57,0.246,0.984,3.64,Yawning
08:19:57,0.254,1.031,4.4,Yawning
08:19:57,0.244,1.047,5.13,Yawning
08:19:57,0.243,0.94,4.34,Yawning
08:19:57,0.26,1.016,3.64,Yawning
08:19:57,0.243,1.082,3.26,Yawning
08:19:57,0.247,0.983,3.28,Yawning
08:19:57,0.222,1.068,4.34,Eyes Closed
08:19:57,0.243,0.931,5.39,Yawning
08:19:57,0.245,0.966,4.4,Yawning
08:19:57,0.229,1.063,4.7,Eyes Closed
08:19:57,0.227,1.043,5.75,Eyes Closed
08:19:57,0.235,1.054,5.89,Yawning
08:19:57,0.247,0.94,6.18,Yawning
08:19:57,0.244,1.027,5.86,Yawning
08:19:57,0.248,0.939,4.73,Yawning
08:19:57,0.245,0.969,5.1,Yawning
08:19:57,0.232,0.994,5.13,Yawning
08:19:57,0.238,1.012,5.86,Yawning
08:19:57,0.243,1.042,6.14,Yawning
08:19:57,0.236,0.997,5.42,Yawning
08:19:57,0.238,0.95,5.86,Yawning
08:19:58,0.222,0.98,6.58,Eyes Closed
08:19:58,0.242,0.994,7.72,Yawning
08:19:58,0.237,0.92,6.54,Yawning
08:19:58,0.232,0.95,6.54,Yawning
08:19:58,0.234,0.966,6.18,Yawning
08:19:58,0.246,0.946,5.82,Yawning
08:19:58,0.227,0.974,7.31,Eyes Closed
08:19:58,0.253,0.881,5.06,Yawning
08:19:58,0.245,1.007,6.22,Yawning
08:19:58,0.246,0.981,6.54,Yawning
08:19:58,0.255,0.966,6.14,Yawning
08:19:58,0.24,0.949,6.26,Yawning
08:19:58,0.238,0.924,6.18,Yawning
08:19:58,0.261,0.984,4.4,Yawning
08:19:58,0.251,1.029,5.42,Yawning
08:19:58,0.246,0.959,7.26,Yawning
08:19:58,0.239,0.966,6.94,Yawning
08:19:58,0.25,0.881,6.58,Yawning
08:19:58,0.264,0.981,6.1,Yawning
08:19:58,0.251,1.012,5.82,Yawning
08:19:58,0.248,0.936,5.86,Yawning
08:19:58,0.248,0.908,6.18,Yawning
08:19:58,0.255,0.968,5.97,Yawning
08:19:58,0.265,1.012,6.58,Yawning
08:19:58,0.247,0.886,6.18,Yawning
08:19:58,0.257,1.017,6.22,Yawning
08:19:58,0.276,0.978,5.93,Yawning
08:19:58,0.256,0.946,5.93,Yawning
08:19:58,0.251,0.98,5.46,Yawning
08:19:59,0.258,0.966,5.46,Yawning
08:19:59,0.263,0.967,5.13,Yawning
08:19:59,0.262,0.933,5.53,Yawning
08:19:59,0.257,0.906,5.46,Yawning
08:19:59,0.253,0.996,5.49,Yawning
08:19:59,0.255,0.98,6.62,Yawning
08:19:59,0.265,0.959,5.46,Yawning
08:19:59,0.261,0.981,6.94,Yawning
08:19:59,0.248,0.863,5.49,Yawning
08:19:59,0.247,1.079,5.53,Yawning
08:19:59,0.243,1.028,5.78,Yawning
08:19:59,0.262,0.983,4.4,Yawning
08:19:59,0.255,1.015,5.53,Yawning
08:19:59,0.26,0.948,5.93,Yawning
08:19:59,0.28,1.065,5.16,Yawning
08:19:59,0.271,1.099,5.56,Yawning
08:19:59,0.269,1.045,6.26,Yawning
08:19:59,0.277,0.972,6.54,Yawning
08:19:59,0.278,0.981,5.86,Yawning
08:19:59,0.267,0.936,6.94,Yawning
08:19:59,0.306,0.98,5.49,Yawning
08:19:59,0.294,0.976,6.18,Yawning
08:19:59,0.295,0.974,5.1,Yawning
08:19:59,0.272,1.011,6.18,Yawning
08:19:59,0.306,1.059,5.86,Yawning
08:19:59,0.296,0.936,5.56,Yawning
08:19:59,0.28,1.043,6.67,Yawning
08:19:59,0.269,1.079,5.86,Yawning
08:19:59,0.301,0.981,6.18,Yawning
08:19:59,0.28,1.075,6.3,Yawning
08:20:00,0.281,1.043,6.9,Yawning
08:20:00,0.282,0.906,4.76,Yawning
08:20:00,0.289,1.028,7.03,Yawning
08:20:00,0.284,1.079,5.89,Yawning
08:20:00,0.281,1.049,5.53,Yawning
08:20:00,0.279,0.996,5.46,Yawning
08:20:00,0.291,1.059,5.16,Yawning
08:20:00,0.27,1.041,5.13,Yawning
08:20:00,0.287,0.966,6.22,Yawning
08:20:00,0.271,0.939,6.58,Yawning
08:20:00,0.304,0.969,5.53,Yawning
08:20:00,0.305,1.027,5.56,Yawning
08:20:00,0.279,1.014,4.73,Yawning
08:20:00,0.281,0.953,5.49,Yawning
08:20:00,0.28,0.966,5.46,Yawning
08:20:00,0.28,0.906,5.49,Yawning
08:20:00,0.282,1.031,4.79,Yawning
08:20:00,0.271,0.924,5.49,Yawning
08:20:00,0.271,0.881,6.22,Yawning
08:20:00,0.274,0.896,6.58,Yawning
08:20:00,0.282,1.011,5.13,Yawning
08:20:00,0.276,0.968,6.26,Yawning
08:20:00,0.259,1.0,5.93,Yawning
08:20:00,0.272,0.981,4.73,Yawning
08:20:00,0.284,0.966,6.26,Yawning
08:20:00,0.269,1.061,5.86,Yawning
08:20:00,0.266,0.984,7.35,Yawning
08:20:00,0.283,0.939,5.13,Yawning
08:20:00,0.279,0.94,5.49,Yawning
08:20:00,0.272,0.907,7.03,Yawning
08:20:00,0.269,0.983,5.1,Yawning
08:20:01,0.288,1.011,5.89,Yawning
08:20:01,0.289,0.967,6.94,Yawning
08:20:01,0.278,0.956,5.1,Yawning
08:20:01,0.276,0.936,6.22,Yawning
08:20:01,0.287,0.984,6.18,Yawning
08:20:01,0.271,0.965,8.08,Yawning
08:20:01,0.268,0.939,6.94,Yawning
08:20:01,0.28,0.953,6.5,Yawning
08:20:01,0.275,0.953,6.5,Yawning
08:20:01,0.277,0.896,6.5,Yawning
08:20:01,0.293,0.951,4.73,Yawning
08:20:01,0.281,0.981,6.5,Yawning
08:20:01,0.276,0.964,5.06,Yawning
08:20:01,0.285,0.936,6.54,Yawning
08:20:01,0.258,0.964,6.22,Yawning
08:20:01,0.279,0.964,6.18,Yawning
08:20:01,0.282,1.043,5.49,Yawning
08:20:01,0.274,0.996,6.26,Yawning
08:20:01,0.263,0.925,6.14,Yawning
08:20:01,0.27,0.9,6.58,Yawning
08:20:01,0.262,0.906,5.82,Yawning
08:20:01,0.273,1.012,5.03,Yawning
08:20:01,0.275,1.027,5.86,Yawning
08:20:01,0.266,1.027,5.89,Yawning
08:20:01,0.265,1.012,6.22,Yawning
08:20:01,0.281,0.98,5.86,Yawning
08:20:01,0.27,1.012,4.76,Yawning
08:20:01,0.271,1.078,5.16,Yawning
08:20:01,0.287,1.027,5.53,Yawning
08:20:01,0.289,1.011,5.53,Yawning
08:20:02,0.281,1.014,4.37,Yawning
08:20:02,0.258,0.98,4.34,Yawning
08:20:02,0.265,0.964,5.16,Yawning
08:20:02,0.273,0.921,5.13,Yawning
08:20:02,0.285,0.997,5.42,Yawning
08:20:02,0.262,0.956,5.06,Yawning
08:20:02,0.285,0.968,5.06,Yawning
08:20:02,0.278,0.92,4.34,Yawning
08:20:02,0.284,0.968,4.79,Yawning
08:20:02,0.275,1.027,5.78,Yawning
08:20:02,0.275,1.027,5.82,Yawning
08:20:02,0.267,0.983,5.49,Yawning
08:20:02,0.27,0.936,5.42,Yawning
08:20:02,0.282,0.981,6.18,Yawning
08:20:02,0.276,0.996,5.06,Yawning
08:20:02,0.273,0.982,5.06,Yawning
08:20:02,0.274,1.056,5.1,Yawning
08:20:02,0.304,0.967,5.78,Yawning
08:20:02,0.299,0.984,5.78,Yawning
08:20:02,0.28,0.996,4.67,Yawning
08:20:02,0.28,1.062,6.22,Yawning
08:20:02,0.29,1.066,6.54,Yawning
08:20:02,0.288,0.991,4.7,Yawning
08:20:02,0.288,0.98,5.13,Yawning
08:20:02,0.277,1.072,4.7,Yawning
08:20:02,0.269,1.007,4.32,Yawning
08:20:02,0.291,1.043,4.37,Yawning
08:20:02,0.263,0.996,4.34,Yawning
08:20:02,0.265,0.948,4.7,Yawning
08:20:02,0.279,1.113,5.86,Yawning
08:20:03,0.263,1.027,5.39,Yawning
08:20:03,0.275,1.054,5.36,Yawning
08:20:03,0.267,1.042,5.13,Yawning
08:20:03,0.258,1.027,5.03,Yawning
08:20:03,0.251,1.026,5.39,Yawning
08:20:03,0.241,1.012,5.46,Yawning
08:20:03,0.252,0.951,5.53,Yawning
08:20:03,0.228,0.966,5.86,Eyes Closed
08:20:03,0.243,0.966,6.5,Yawning
08:20:03,0.257,1.038,6.18,Yawning
08:20:03,0.256,1.011,5.03,Yawning
08:20:03,0.253,1.026,6.86,Yawning
08:20:03,0.249,0.997,5.82,Yawning
08:20:03,0.217,1.028,6.58,Eyes Closed
08:20:03,0.214,0.964,5.82,Eyes Closed
08:20:03,0.248,1.031,6.22,Yawning
08:20:03,0.25,1.043,6.54,Yawning
08:20:03,0.243,1.012,5.82,Yawning
08:20:03,0.256,1.106,5.1,Yawning
08:20:03,0.249,1.014,5.46,Yawning
08:20:03,0.255,1.059,5.1,Yawning
08:20:03,0.248,1.011,5.86,Yawning
08:20:03,0.244,1.106,6.14,Yawning
08:20:03,0.258,1.042,6.18,Yawning
08:20:03,0.276,0.997,6.86,Yawning
08:20:03,0.274,1.026,3.24,Yawning
08:20:03,0.291,0.939,5.06,Yawning
08:20:03,0.265,0.98,4.65,Yawning
08:20:03,0.275,1.026,5.06,Yawning
08:20:03,0.28,1.027,4.73,Yawning
08:20:04,0.263,0.982,6.9,Yawning
08:20:04,0.222,0.98,6.18,Eyes Closed
08:20:04,0.224,0.98,5.1,Eyes Closed
08:20:04,0.238,1.036,5.42,Yawning
08:20:04,0.254,0.981,5.46,Yawning
08:20:04,0.261,1.027,6.18,Yawning
08:20:04,0.243,0.981,5.1,Yawning
08:20:04,0.243,0.896,5.78,Yawning
08:20:04,0.258,1.015,4.43,Yawning
08:20:04,0.229,0.951,5.13,Eyes Closed
08:20:04,0.238,1.006,5.86,Yawning
08:20:04,0.22,0.952,5.46,Eyes Closed
08:20:04,0.228,1.021,6.54,Eyes Closed
08:20:04,0.249,0.936,5.82,Yawning
08:20:04,0.236,0.895,4.73,Yawning
08:20:04,0.233,0.982,6.22,Yawning
08:20:04,0.22,1.011,4.67,Eyes Closed
08:20:04,0.249,1.106,5.42,Yawning
08:20:04,0.251,1.026,4.7,Yawning
08:20:04,0.273,0.951,4.65,Yawning
08:20:04,0.266,0.983,4.7,Yawning
08:20:04,0.259,1.011,5.06,Yawning
08:20:04,0.287,1.059,6.22,Yawning
08:20:04,0.284,0.968,5.1,Yawning
08:20:04,0.273,1.011,5.06,Yawning
08:20:04,0.269,0.881,5.1,Yawning
08:20:04,0.259,0.914,6.06,Yawning
08:20:04,0.286,0.955,5.39,Yawning
08:20:04,0.253,0.92,5.1,Yawning
08:20:04,0.283,0.921,4.76,Yawning
08:20:05,0.275,0.996,5.06,Yawning
08:20:05,0.288,0.999,5.82,Yawning
08:20:05,0.265,0.946,6.14,Yawning
08:20:05,0.288,0.936,5.49,Yawning
08:20:05,0.279,1.047,4.34,Yawning
08:20:05,0.299,0.999,5.46,Yawning
08:20:05,0.276,0.967,5.06,Yawning
08:20:05,0.273,0.944,5.13,Yawning
08:20:05,0.283,1.059,5.56,Yawning
08:20:05,0.265,0.981,6.54,Yawning
08:20:05,0.283,0.969,5.42,Yawning
08:20:05,0.288,1.027,5.49,Yawning
08:20:05,0.276,1.026,4.73,Yawning
08:20:05,0.294,1.083,5.13,Yawning
08:20:05,0.27,0.924,4.37,Yawning
08:20:05,0.282,1.015,5.42,Yawning
08:20:05,0.283,0.9,3.6,Yawning
08:20:05,0.291,1.026,4.73,Yawning
08:20:05,0.293,1.04,4.73,Yawning
08:20:05,0.28,0.953,4.4,Yawning
08:20:05,0.277,0.996,4.7,Yawning
08:20:05,0.283,1.015,4.7,Yawning
08:20:05,0.28,0.938,5.49,Yawning
08:20:05,0.297,1.011,5.13,Yawning
08:20:05,0.29,0.98,4.43,Yawning
08:20:05,0.248,1.031,5.13,Yawning
08:20:05,0.279,1.072,5.75,Yawning
08:20:05,0.252,1.031,4.34,Yawning
08:20:05,0.267,1.054,5.06,Yawning
08:20:06,0.255,0.996,5.1,Yawning
08:20:06,0.277,0.948,5.13,Yawning
08:20:06,0.28,0.979,4.79,Yawning
08:20:06,0.281,0.981,5.06,Yawning
08:20:06,0.287,0.982,4.37,Yawning
08:20:06,0.265,0.949,5.46,Yawning
08:20:06,0.268,0.974,5.06,Yawning
08:20:06,0.266,0.992,4.76,Yawning
08:20:06,0.266,0.982,4.34,Yawning
08:20:06,0.26,0.9,5.03,Yawning
08:20:06,0.266,1.027,5.19,Yawning
08:20:06,0.281,0.992,4.73,Yawning
08:20:06,0.273,0.983,4.76,Yawning
08:20:06,0.294,1.014,5.1,Yawning
08:20:06,0.269,1.111,6.22,Yawning
08:20:06,0.285,1.042,5.82,Yawning
08:20:06,0.272,1.07,6.5,Yawning
08:20:06,0.286,1.091,6.18,Yawning
08:20:06,0.297,1.027,5.46,Yawning
08:20:06,0.268,0.997,6.5,Yawning
08:20:06,0.276,0.951,4.67,Yawning
08:20:06,0.294,1.026,4.4,Yawning
08:20:06,0.272,0.969,3.62,Yawning
08:20:06,0.294,0.997,4.7,Yawning
08:20:06,0.287,0.924,5.46,Yawning
08:20:06,0.276,1.026,5.46,Yawning
08:20:06,0.304,1.011,5.86,Yawning
08:20:06,0.268,0.953,3.96,Yawning
08:20:06,0.286,0.997,4.76,Yawning
08:20:06,0.292,0.966,5.13,Yawning
08:20:07,0.302,0.995,5.13,Yawning
08:20:07,0.287,1.028,5.1,Yawning
08:20:07,0.29,0.966,5.1,Yawning
08:20:07,0.268,0.996,4.4,Yawning
08:20:07,0.291,0.939,3.3,Yawning
08:20:07,0.278,1.012,4.01,Yawning
08:20:07,0.289,0.92,4.76,Yawning
08:20:07,0.268,1.028,3.98,Yawning
08:20:07,0.262,0.966,4.73,Yawning
08:20:07,0.266,1.027,4.37,Yawning
08:20:07,0.286,1.021,6.14,Yawning
08:20:07,0.287,1.012,6.54,Yawning
08:20:07,0.266,0.984,5.86,Yawning
08:20:07,0.273,0.981,5.42,Yawning
08:20:07,0.28,0.969,4.73,Yawning
08:20:07,0.305,0.983,3.72,Yawning
08:20:07,0.3,1.016,4.43,Yawning
08:20:07,0.282,0.984,3.67,Yawning
08:20:07,0.256,1.076,4.7,Yawning
08:20:07,0.274,1.105,4.01,Yawning
08:20:07,0.255,1.063,3.69,Yawning
08:20:07,0.257,1.032,3.69,Yawning
08:20:07,0.277,1.026,4.01,Yawning
08:20:07,0.243,1.026,3.32,Yawning
08:20:07,0.261,1.032,2.99,Yawning
08:20:07,0.253,1.106,2.97,Yawning
08:20:07,0.258,1.075,3.37,Yawning
08:20:07,0.268,1.099,4.09,Yawning
08:20:07,0.254,1.044,4.48,Yawning
08:20:07,0.265,1.028,2.99,Yawning
08:20:08,0.274,1.082,3.03,Yawning
08:20:08,0.26,0.965,2.99,Yawning
08:20:08,0.258,0.981,2.99,Yawning
08:20:08,0.27,1.062,3.37,Yawning
08:20:08,0.241,0.996,4.54,Yawning
08:20:08,0.257,1.066,4.57,Yawning
08:20:08,0.247,1.061,4.57,Yawning
08:20:08,0.253,1.099,3.41,Yawning
08:20:08,0.256,1.075,3.79,Yawning
08:20:08,0.205,1.012,4.92,Eyes Closed
08:20:08,0.252,1.028,4.51,Yawning
08:20:08,0.237,1.122,3.05,Yawning
08:20:08,0.219,1.013,5.02,Eyes Closed
08:20:08,0.214,1.032,7.65,Eyes Closed
08:20:08,0.24,1.06,5.67,Yawning
08:20:08,0.237,0.98,4.99,Yawning
08:20:08,0.255,0.886,5.05,Yawning
08:20:08,0.245,1.119,4.25,Yawning
08:20:08,0.223,0.998,5.37,Eyes Closed
08:20:08,0.239,0.997,5.37,Yawning
08:20:08,0.244,0.835,6.55,Yawning
08:20:08,0.234,1.014,5.12,Yawning
08:20:08,0.236,0.964,4.76,Yawning
08:20:08,0.254,0.948,3.58,Yawning
08:20:08,0.248,0.948,2.76,Yawning
08:20:08,0.265,0.9,3.12,Yawning
08:20:08,0.242,1.086,4.73,Yawning
08:20:08,0.261,0.928,3.09,Yawning
08:20:08,0.237,1.0,1.56,Yawning
08:20:08,0.248,0.922,1.57,Yawning
08:20:08,0.262,1.073,3.18,Yawning
08:20:09,0.23,1.0,4.0,Eyes Closed
08:20:09,0.233,1.052,5.51,Yawning
08:20:09,0.226,0.912,6.93,Eyes Closed
08:20:09,0.246,0.792,8.24,Yawning
08:20:09,0.25,0.916,6.47,Yawning
08:20:09,0.237,1.019,6.25,Yawning
08:20:09,0.25,1.076,4.54,Yawning
08:20:09,0.257,0.946,4.19,Yawning
08:20:09,0.238,0.916,4.95,Yawning
08:20:09,0.252,0.931,4.6,Yawning
08:20:09,0.236,0.998,5.02,Yawning
08:20:09,0.259,0.939,4.95,Yawning
08:20:09,0.25,0.964,4.64,Yawning
08:20:09,0.249,0.983,4.67,Yawning
08:20:09,0.244,0.984,5.09,Yawning
08:20:09,0.248,0.817,5.87,Yawning
08:20:09,0.233,0.936,5.02,Yawning
08:20:09,0.237,0.898,5.02,Yawning
08:20:09,0.259,0.849,3.48,Yawning
08:20:09,0.224,0.962,3.09,Eyes Closed
08:20:09,0.233,0.987,3.87,Yawning
08:20:09,0.242,0.985,3.48,Yawning
08:20:09,0.227,0.945,5.87,Eyes Closed
08:20:09,0.222,0.98,3.87,Eyes Closed
08:20:09,0.255,0.916,3.07,Yawning
08:20:09,0.253,0.996,3.09,Yawning
08:20:09,0.231,0.98,3.92,Yawning
08:20:09,0.272,0.849,1.14,Yawning
08:20:09,0.252,0.889,0.76,Yawning
08:20:09,0.255,0.989,1.15,Yawning
08:20:10,0.266,0.917,1.52,Yawning
08:20:10,0.273,0.857,2.29,Yawning
08:20:10,0.27,0.953,1.9,Yawning
08:20:10,0.257,0.917,1.9,Yawning
08:20:10,0.278,0.886,1.5,Yawning
08:20:10,0.268,0.923,1.86,Yawning
08:20:10,0.261,0.926,1.12,Yawning
08:20:10,0.27,0.904,2.25,Yawning
08:20:10,0.272,0.881,1.49,Yawning
08:20:10,0.288,0.874,0.75,Yawning
08:20:10,0.259,0.889,0.38,Yawning
08:20:10,0.259,0.906,0.37,Yawning
08:20:10,0.249,0.947,0.0,Yawning
08:20:10,0.268,0.895,0.76,Yawning
08:20:10,0.256,0.935,1.9,Yawning
08:20:10,0.27,0.906,1.12,Yawning
08:20:10,0.269,0.955,1.49,Yawning
08:20:10,0.267,0.889,0.77,Yawning
08:20:10,0.247,0.86,1.15,Yawning
08:20:10,0.26,0.907,0.76,Yawning
08:20:10,0.27,0.884,0.38,Yawning
08:20:10,0.245,0.94,0.0,Yawning
08:20:10,0.243,1.003,1.14,Yawning
08:20:10,0.233,0.922,1.14,Yawning
08:20:10,0.252,0.9,0.76,Yawning
08:20:10,0.255,0.914,1.9,Yawning
08:20:10,0.238,0.903,2.29,Yawning
08:20:10,0.263,0.864,1.13,Yawning
08:20:10,0.28,0.934,1.15,Yawning
08:20:11,0.237,0.852,1.14,Yawning
08:20:11,0.239,0.917,1.17,Yawning
08:20:11,0.243,0.906,0.0,Yawning
08:20:11,0.238,0.934,1.16,Yawning
08:20:11,0.266,0.825,0.0,Yawning
08:20:11,0.266,0.858,0.38,Yawning
08:20:11,0.244,0.95,1.54,Yawning
08:20:11,0.277,0.86,0.75,Yawning
08:20:11,0.266,0.863,0.38,Yawning
08:20:11,0.265,0.953,0.75,Yawning
08:20:11,0.267,0.982,1.14,Yawning
08:20:11,0.276,0.965,1.5,Yawning
08:20:11,0.255,0.916,1.52,Yawning
08:20:11,0.253,0.932,1.53,Yawning
08:20:11,0.251,0.902,1.53,Yawning
08:20:11,0.252,0.967,1.14,Yawning
08:20:11,0.256,0.868,0.0,Yawning
08:20:11,0.274,0.885,0.0,Yawning
08:20:11,0.254,0.867,1.12,Yawning
08:20:11,0.258,0.873,0.0,Yawning
08:20:11,0.282,0.826,0.38,Yawning
08:20:11,0.256,0.779,0.0,Yawning
08:20:11,0.251,0.916,1.53,Yawning
08:20:11,0.276,0.895,1.14,Yawning
08:20:11,0.257,0.933,2.29,Yawning
08:20:11,0.254,0.905,0.38,Yawning
08:20:11,0.254,0.948,0.38,Yawning
08:20:11,0.27,0.895,1.15,Yawning
08:20:11,0.275,1.017,0.76,Yawning
08:20:11,0.258,0.889,0.38,Yawning
08:20:11,0.287,0.904,0.0,Yawning
08:20:12,0.279,0.874,0.38,Yawning
08:20:12,0.274,0.934,0.76,Yawning
08:20:12,0.257,0.947,2.67,Yawning
08:20:12,0.278,0.95,0.76,Yawning
08:20:12,0.26,0.886,2.29,Yawning
08:20:12,0.282,0.922,1.5,Yawning
08:20:12,0.293,0.9,0.38,Yawning
08:20:12,0.265,0.947,1.15,Yawning
08:20:12,0.261,0.895,1.52,Yawning
08:20:12,0.268,0.82,0.38,Yawning
08:20:12,0.265,0.932,1.54,Yawning
08:20:12,0.261,0.864,0.75,Yawning
08:20:12,0.26,0.851,0.76,Yawning
08:20:12,0.241,0.858,0.75,Yawning
08:20:12,0.245,0.873,0.38,Yawning
08:20:12,0.263,0.884,0.0,Yawning
