Timestamp,EAR,MAR,Status
07:40:42,0.263,0.889,Drowsy / Yawning
07:40:42,0.286,0.869,Drowsy / Yawning
07:40:42,0.263,0.831,Drowsy / Yawning
07:40:42,0.281,0.86,Drowsy / Yawning
07:40:42,0.274,0.835,Drowsy / Yawning
07:40:42,0.28,0.944,Drowsy / Yawning
07:40:42,0.268,0.918,Drowsy / Yawning
07:40:42,0.261,0.917,Drowsy / Yawning
07:40:42,0.27,0.901,Drowsy / Yawning
07:40:42,0.271,0.852,Drowsy / Yawning
07:40:42,0.276,0.85,Drowsy / Yawning
07:40:42,0.282,0.849,Drowsy / Yawning
07:40:42,0.265,0.832,Drowsy / Yawning
07:40:42,0.286,0.817,Drowsy / Yawning
07:40:42,0.272,0.831,Drowsy / Yawning
07:40:42,0.263,0.799,Drowsy / Yawning
07:40:42,0.278,0.813,Drowsy / Yawning
07:40:42,0.283,0.828,Drowsy / Yawning
07:40:42,0.269,0.792,Drowsy / Yawning
07:40:42,0.28,0.789,Drowsy / Yawning
07:40:42,0.284,0.795,Drowsy / Yawning
07:40:42,0.279,0.825,Drowsy / Yawning
07:40:42,0.271,0.836,Drowsy / Yawning
07:40:43,0.271,0.82,Drowsy / Yawning
07:40:43,0.288,0.826,Drowsy / Yawning
07:40:43,0.255,0.828,Drowsy / Yawning
07:40:43,0.282,0.817,Drowsy / Yawning
07:40:43,0.273,0.85,Drowsy / Yawning
07:40:43,0.276,0.855,Drowsy / Yawning
07:40:43,0.282,0.86,Drowsy / Yawning
07:40:43,0.283,0.909,Drowsy / Yawning
07:40:43,0.283,0.859,Drowsy / Yawning
07:40:43,0.291,0.85,Drowsy / Yawning
07:40:43,0.285,0.848,Drowsy / Yawning
07:40:43,0.297,0.858,Drowsy / Yawning
07:40:43,0.286,0.863,Drowsy / Yawning
07:40:43,0.282,0.819,Drowsy / Yawning
07:40:43,0.282,0.853,Drowsy / Yawning
07:40:43,0.296,0.866,Drowsy / Yawning
07:40:43,0.296,0.811,Drowsy / Yawning
07:40:43,0.288,0.88,Drowsy / Yawning
07:40:43,0.289,0.824,Drowsy / Yawning
07:40:43,0.299,0.838,Drowsy / Yawning
07:40:43,0.292,0.845,Drowsy / Yawning
07:40:43,0.283,0.85,Drowsy / Yawning
07:40:43,0.203,0.814,Drowsy / Yawning
07:40:43,0.152,0.834,Drowsy / Yawning
07:40:43,0.128,0.824,Drowsy / Yawning
07:40:43,0.11,0.839,Drowsy / Yawning
07:40:43,0.115,0.857,Drowsy / Yawning
07:40:43,0.112,0.825,Drowsy / Yawning
07:40:43,0.132,0.833,Drowsy / Yawning
07:40:44,0.146,0.799,Drowsy / Yawning
07:40:44,0.172,0.785,Drowsy / Yawning
07:40:44,0.229,0.792,Drowsy / Yawning
07:40:44,0.238,0.802,Drowsy / Yawning
07:40:44,0.247,0.775,Drowsy / Yawning
07:40:44,0.264,0.753,Drowsy / Yawning
07:40:44,0.256,0.822,Drowsy / Yawning
07:40:44,0.274,0.777,Drowsy / Yawning
07:40:44,0.279,0.772,Drowsy / Yawning
07:40:44,0.27,0.796,Drowsy / Yawning
07:40:44,0.276,0.776,Drowsy / Yawning
07:40:44,0.296,0.814,Drowsy / Yawning
07:40:44,0.288,0.778,Drowsy / Yawning
07:40:44,0.281,0.811,Drowsy / Yawning
07:40:44,0.284,0.79,Drowsy / Yawning
07:40:44,0.298,0.811,Drowsy / Yawning
07:40:44,0.29,0.781,Drowsy / Yawning
07:40:44,0.28,0.809,Drowsy / Yawning
07:40:44,0.158,0.762,Drowsy / Yawning
07:40:44,0.131,0.792,Drowsy / Yawning
07:40:44,0.129,0.795,Drowsy / Yawning
07:40:44,0.152,0.765,Drowsy / Yawning
07:40:44,0.235,0.819,Drowsy / Yawning
07:40:44,0.268,0.796,Drowsy / Yawning
07:40:44,0.29,0.808,Drowsy / Yawning
07:40:44,0.312,0.833,Drowsy / Yawning
07:40:44,0.298,0.839,Drowsy / Yawning
07:40:44,0.311,0.85,Drowsy / Yawning
07:40:44,0.31,0.79,Drowsy / Yawning
07:40:44,0.302,0.831,Drowsy / Yawning
07:40:44,0.312,0.861,Drowsy / Yawning
07:40:45,0.313,0.843,Drowsy / Yawning
07:40:45,0.329,0.846,Drowsy / Yawning
07:40:45,0.294,0.775,Drowsy / Yawning
07:40:45,0.315,0.777,Drowsy / Yawning
07:40:45,0.307,0.852,Drowsy / Yawning
07:40:45,0.286,0.8,Drowsy / Yawning
07:40:45,0.247,0.808,Drowsy / Yawning
07:40:45,0.234,0.862,Drowsy / Yawning
07:40:45,0.231,0.826,Drowsy / Yawning
07:40:45,0.232,0.805,Drowsy / Yawning
07:40:45,0.282,0.769,Drowsy / Yawning
07:40:45,0.272,0.796,Drowsy / Yawning
07:40:45,0.277,0.802,Drowsy / Yawning
07:40:45,0.301,0.773,Drowsy / Yawning
07:40:45,0.312,0.763,Drowsy / Yawning
07:40:45,0.297,0.842,Drowsy / Yawning
07:40:45,0.302,0.755,Drowsy / Yawning
07:40:45,0.304,0.82,Drowsy / Yawning
07:40:45,0.294,0.864,Drowsy / Yawning
07:40:45,0.293,0.802,Drowsy / Yawning
07:40:45,0.32,0.807,Drowsy / Yawning
07:40:45,0.297,0.824,Drowsy / Yawning
07:40:45,0.294,0.839,Drowsy / Yawning
07:40:45,0.308,0.837,Drowsy / Yawning
07:40:45,0.296,0.819,Drowsy / Yawning
07:40:45,0.324,0.852,Drowsy / Yawning
07:40:45,0.293,0.857,Drowsy / Yawning
07:40:45,0.238,0.824,Drowsy / Yawning
07:40:45,0.175,0.825,Drowsy / Yawning
07:40:46,0.223,0.814,Drowsy / Yawning
07:40:46,0.219,0.867,Drowsy / Yawning
07:40:46,0.252,0.821,Drowsy / Yawning
07:40:46,0.248,0.83,Drowsy / Yawning
07:40:46,0.27,0.844,Drowsy / Yawning
07:40:46,0.287,0.862,Drowsy / Yawning
07:40:46,0.305,0.795,Drowsy / Yawning
07:40:46,0.276,0.826,Drowsy / Yawning
07:40:46,0.296,0.858,Drowsy / Yawning
07:40:46,0.251,0.847,Drowsy / Yawning
07:40:46,0.282,0.862,Drowsy / Yawning
07:40:46,0.281,0.819,Drowsy / Yawning
07:40:46,0.316,0.864,Drowsy / Yawning
07:40:46,0.327,0.967,Drowsy / Yawning
07:40:46,0.313,1.056,Drowsy / Yawning
07:40:46,0.328,0.816,Drowsy / Yawning
07:40:46,0.302,0.885,Drowsy / Yawning
07:40:46,0.308,0.854,Drowsy / Yawning
07:40:46,0.299,0.878,Drowsy / Yawning
07:40:46,0.295,0.855,Drowsy / Yawning
07:40:46,0.285,0.878,Drowsy / Yawning
07:40:46,0.308,0.829,Drowsy / Yawning
07:40:46,0.297,0.819,Drowsy / Yawning
07:40:46,0.278,0.833,Drowsy / Yawning
07:40:46,0.272,0.877,Drowsy / Yawning
07:40:46,0.271,0.841,Drowsy / Yawning
07:40:46,0.263,0.868,Drowsy / Yawning
07:40:46,0.281,0.859,Drowsy / Yawning
07:40:46,0.262,0.83,Drowsy / Yawning
07:40:46,0.258,0.807,Drowsy / Yawning
07:40:46,0.247,0.821,Drowsy / Yawning
07:40:47,0.259,0.85,Drowsy / Yawning
07:40:47,0.273,0.822,Drowsy / Yawning
07:40:47,0.265,0.827,Drowsy / Yawning
07:40:47,0.257,0.916,Drowsy / Yawning
07:40:47,0.248,0.962,Drowsy / Yawning
07:40:47,0.222,0.863,Drowsy / Yawning
07:40:47,0.256,0.82,Drowsy / Yawning
07:40:47,0.236,0.839,Drowsy / Yawning
07:40:47,0.271,0.818,Drowsy / Yawning
07:40:47,0.259,0.853,Drowsy / Yawning
07:40:47,0.267,0.82,Drowsy / Yawning
07:40:47,0.264,0.893,Drowsy / Yawning
07:40:47,0.273,0.824,Drowsy / Yawning
07:40:47,0.259,0.82,Drowsy / Yawning
07:40:47,0.289,0.853,Drowsy / Yawning
07:40:47,0.283,0.868,Drowsy / Yawning
07:40:47,0.265,0.85,Drowsy / Yawning
07:40:47,0.265,0.84,Drowsy / Yawning
07:40:47,0.255,0.833,Drowsy / Yawning
07:40:47,0.268,0.823,Drowsy / Yawning
07:40:47,0.277,0.817,Drowsy / Yawning
07:40:47,0.271,0.79,Drowsy / Yawning
07:40:47,0.273,0.836,Drowsy / Yawning
07:40:47,0.288,0.827,Drowsy / Yawning
07:40:47,0.288,0.823,Drowsy / Yawning
07:40:47,0.291,0.816,Drowsy / Yawning
07:40:47,0.295,0.802,Drowsy / Yawning
07:40:47,0.285,0.823,Drowsy / Yawning
07:40:47,0.304,0.825,Drowsy / Yawning
07:40:47,0.3,0.797,Drowsy / Yawning
07:40:48,0.305,0.829,Drowsy / Yawning
07:40:48,0.284,0.846,Drowsy / Yawning
07:40:48,0.264,0.85,Drowsy / Yawning
07:40:48,0.276,0.806,Drowsy / Yawning
07:40:48,0.276,0.825,Drowsy / Yawning
07:40:48,0.281,0.787,Drowsy / Yawning
07:40:48,0.28,0.83,Drowsy / Yawning
07:40:48,0.279,0.843,Drowsy / Yawning
07:40:48,0.27,0.865,Drowsy / Yawning
07:40:48,0.274,0.824,Drowsy / Yawning
07:40:48,0.273,0.856,Drowsy / Yawning
07:40:48,0.314,0.799,Drowsy / Yawning
07:40:48,0.264,0.83,Drowsy / Yawning
07:40:48,0.282,0.824,Drowsy / Yawning
07:40:48,0.271,0.794,Drowsy / Yawning
07:40:48,0.275,0.843,Drowsy / Yawning
07:40:48,0.287,0.837,Drowsy / Yawning
07:40:48,0.278,0.817,Drowsy / Yawning
